# FIXTURE -- HAND-WRITTEN. Not produced by core/generator, and no code in
# core/generator/ may be used to read, regenerate or validate it.
# Source schema: Delhivery-style COD remittance CSV. FROM KNOWLEDGE -- courier
# portals publish no export schema. See cod-remittance-clean.csv and
# ADAPTERS-REPORT.md.
# 11 data rows on physical lines 12-22. Eight are defective, one per defect --
# sub-paise COD amount, empty remittance reference, a line cut short, an
# ambiguous date, a repeated waybill, an unknown row type, a row that moves no
# money at all, and an unquoted comma. Lines 12, 17 and 22 are clean and must
# still yield their legs.
Remittance Ref,UTR,Remittance Date,Waybill,Order ID,Row Type,Delivery Date,COD Amount,Freight Charge,COD Handling Fee,RTO Charge,GST
DLV/REM/26082001,HDFCR52026082009,20-08-2026,DL20000001,ORD-005471,COD,16-08-2026,2499.00,45.00,37.49,0.00,14.85
DLV/REM/26082001,HDFCR52026082009,20-08-2026,DL20000002,ORD-005472,COD,16-08-2026,1899.005,45.00,28.49,0.00,13.23
,HDFCR52026082009,20-08-2026,DL20000003,ORD-005473,COD,17-08-2026,3499.00,65.00,52.49,0.00,21.15
DLV/REM/26082001,HDFCR52026082009,20-08-2026,DL20000004
DLV/REM/26082001,HDFCR52026082009,20/08/2026,DL20000005,ORD-005475,COD,18-08-2026,999.00,45.00,14.99,0.00,10.80
DLV/REM/26082001,HDFCR52026082009,20-08-2026,DL20000006,ORD-005476,COD,18-08-2026,1250.00,45.00,18.75,0.00,9.56
DLV/REM/26082001,HDFCR52026082009,20-08-2026,DL20000006,ORD-005476,COD,18-08-2026,1250.00,45.00,18.75,0.00,9.56
DLV/REM/26082001,HDFCR52026082009,20-08-2026,DL20000007,ORD-005477,PARTIAL,18-08-2026,750.00,45.00,11.25,0.00,10.13
DLV/REM/26082001,HDFCR52026082009,20-08-2026,DL20000008,ORD-005478,COD,19-08-2026,0.00,0.00,0.00,0.00,0.00
DLV/REM/26082001,HDFCR52026082009,20-08-2026,DL20000009,ORD-005479, RTO PARTIAL,COD,19-08-2026,1499.00,45.00,22.49,0.00,12.15
DLV/REM/26082001,HDFCR52026082009,20-08-2026,DL20000010,ORD-005480,COD,19-08-2026,899.00,45.00,13.49,0.00,10.53
