# FIXTURE -- HAND-WRITTEN. Not produced by core/generator, and no code in
# core/generator/ may be used to read, regenerate or validate it.
# Source schema: HDFC Bank account-statement export.
# Header corroborated from descriptions of HDFC statement exports (see
# ADAPTERS-REPORT.md); HDFC publishes no official export schema, so the
# two-digit year in particular is FROM KNOWLEDGE and unverified.
# 12 data rows, running balance consistent line to line, zero expected
# quarantine. The last line is deliberately an overdraft: balance is signed.
Date,Narration,Chq./Ref.No.,Value Dt,Withdrawal Amt.,Deposit Amt.,Closing Balance
01/08/26,NEFT CR-RAZORPAY SOFTWARE PVT LTD-N260803HDFC0000001,N260803HDFC0000001,01/08/26,0.00,71153.04,321153.04
02/08/26,UPI-SWIGGY-swiggy@axis-YBL260802000012345,0000000000,02/08/26,450.00,0.00,320703.04
03/08/26,NEFT CR-RAZORPAY SOFTWARE PVT LTD-N260804HDFC0000002,N260804HDFC0000002,03/08/26,0.00,9568.68,330271.72
04/08/26,ATM WDL 0001234 MUMBAI ANDHERI,0000000000,04/08/26,10000.00,0.00,320271.72
05/08/26,IMPS-260805123456-VENDOR PAYOUT,0000000000,05/08/26,25500.50,0.00,294771.22
06/08/26,RTGS DR-HDFC0000456-SUPPLIER LTD-UTR: HDFCR52026080600123,HDFC0000456,06/08/26,150000.00,0.00,144771.22
07/08/26,NEFT CR-RAZORPAY SOFTWARE PVT LTD-N260807HDFC0000003,N260807HDFC0000003,07/08/26,0.00,45260.04,190031.26
08/08/26,CHQ PAID 000123,000123,08/08/26,5000.00,0.00,185031.26
09/08/26,UPI-AMAZON PAY-amazon@apl-AXI260809000098765,0000000000,09/08/26,1299.00,0.00,183732.26
10/08/26,NEFT CR-RAZORPAY SOFTWARE PVT LTD-N260810HDFC0000004,N260810HDFC0000004,10/08/26,0.00,7583.27,191315.53
11/08/26,BANK CHARGES GST,0000000000,11/08/26,118.00,0.00,191197.53
12/08/26,EMI DEBIT LOAN00998877,0000000000,12/08/26,"2,00,000.00",0.00,"-8,802.47"
