# FIXTURE -- HAND-WRITTEN. Not produced by core/generator.
# Source schema: HDFC Bank account-statement export
# (see hdfc-statement-clean.csv for provenance and what is unverified).
# 12 data rows: 4 clean, 8 malformed. The quarantine matrix (line -> reason) is
# asserted in tests/adapters/test_bank_hdfc.py and printed in ADAPTERS-REPORT.md.
Date,Narration,Chq./Ref.No.,Value Dt,Withdrawal Amt.,Deposit Amt.,Closing Balance
01/08/26,NEFT CR-RAZORPAY SOFTWARE PVT LTD-N260803HDFC0000001,N260803HDFC0000001,01/08/26,0.00,71153.04,321153.04
02/08/26,NEFT CR-RAZORPAY SOFTWARE PVT LTD-N260803HDFC0000009,N260803HDFC0000009,02/08/26,0.00,1234.567,322388.05
03/08/26,,0000000000,03/08/26,0.00,500.00,322888.05
04/08/26,ATM WDL 0009999 PUNE,0000000000
2026-08-05,UPI-BIGBASKET-bb@icici-ICI260805000011111,0000000000,05/08/26,899.00,0.00,321989.05
06/08/26,NEFT CR-RAZORPAY SOFTWARE PVT LTD-N260806HDFC0000010,N260806HDFC0000010,06/08/26,0.00,4500.00,326489.05
06/08/26,NEFT CR-RAZORPAY SOFTWARE PVT LTD-N260806HDFC0000010,N260806HDFC0000010,06/08/26,0.00,4500.00,326489.05
07/08/26,SUSPENSE ENTRY REVERSAL,0000000000,07/08/26,250.00,250.00,326489.05
08/08/26,BALANCE ENQUIRY NO MOVEMENT,0000000000,08/08/26,0.00,0.00,326489.05
09/08/26,POS PURCHASE MERCHANT, MUMBAI,0000000000,09/08/26,1500.00,0.00,324989.05
10/08/26,UPI-ZOMATO-zomato@ybl-YBL261010000054321,0000000000,10/08/26,675.25,0.00,324313.80
11/08/26,RTGS DR-HDFC0000789-CONTRACTOR-UTR: HDFCR52026081100456,HDFC0000789,11/08/26,50000.00,0.00,274313.80
