# FIXTURE -- HAND-WRITTEN. Not produced by core/generator.
# Source schema: ICICI Bank account-statement export, retail net-banking layout
# (see icici-statement-clean.csv for provenance -- this layout is UNVERIFIED).
# 12 data rows: 4 clean, 8 malformed. The quarantine matrix (line -> reason) is
# asserted in tests/adapters/test_bank_icici.py and printed in ADAPTERS-REPORT.md.
S No.,Value Date,Transaction Date,Cheque Number,Transaction Remarks,Withdrawal Amount (INR ),Deposit Amount (INR ),Balance (INR )
1,01-08-2026,01-08-2026,,NEFT-N260803ICIC0000001-RAZORPAY SOFTWARE PVT LTD,0.00,71153.04,571153.04 Cr
2,02-08-2026,02-08-2026,,NEFT-N260803ICIC0000009-RAZORPAY SOFTWARE PVT LTD,0.00,9568.685,580722.32 Cr
3,03-08-2026,03-08-2026,,,0.00,500.00,581222.32 Cr
4,04-08-2026,04-08-2026,,ATM CASH WDL PUNE 0009999
5,05-08-2026,03/08/2026,,UPI/260805000011111/BigBasket,899.00,0.00,580323.32 Cr
6,06-08-2026,06-08-2026,,NEFT-N260806ICIC0000010-RAZORPAY SOFTWARE PVT LTD,0.00,4500.00,584823.32 Cr
6,06-08-2026,06-08-2026,,NEFT-N260806ICIC0000010-RAZORPAY SOFTWARE PVT LTD,0.00,4500.00,584823.32 Cr
7,07-08-2026,07-08-2026,,SUSPENSE ENTRY REVERSAL,250.00,250.00,584823.32 Cr
8,08-08-2026,08-08-2026,,UPI/260808000022222/Blinkit,450.00 Dr,0.00,584373.32 Cr
9,09-08-2026,09-08-2026,,POS PURCHASE MERCHANT, MUMBAI,1500.00,0.00,582873.32 Cr
10,10-08-2026,10-08-2026,,UPI/261010000054321/Zomato,675.25,0.00,582198.07 Cr
11,11-08-2026,11-08-2026,,RTGS-ICICR52026081100456-CONTRACTOR,50000.00,0.00,532198.07 Cr
