# FIXTURE -- HAND-WRITTEN. Not produced by core/generator.
# Source schema: Razorpay settlement recon report, per-transaction layout
# (see razorpay-settlement-clean.csv for provenance and what is unverified).
# 14 data rows: 4 clean, 10 malformed, one of each defect the adapter names.
# The quarantine matrix (line -> reason) is asserted in
# tests/adapters/test_razorpay_settlement.py and printed in ADAPTERS-REPORT.md.
entity_id,type,debit,credit,amount,currency,fee (exclusive tax),tax,on_hold,settled,created_at,settled_at,settlement_id,settlement_utr,order_id,order_receipt,payment_id,method
pay_RZP0000000101,payment,0.00,972.15,1000.00,INR,23.60,4.25,N,Y,2026-08-05 09:00:00,2026-08-07,setl_RZ2608070003,260807HDFC0000003,order_RZO000000101,ORD-004501,pay_RZP0000000101,upi
pay_RZP0000000102,payment,0.00,972.15,1000.00,INR,23.60,4.255,N,Y,2026-08-05 09:05:00,2026-08-07,setl_RZ2608070003,260807HDFC0000003,order_RZO000000102,ORD-004502,pay_RZP0000000102,upi
pay_RZP0000000103,payment,0.00,972.15,,INR,23.60,4.25,N,Y,2026-08-05 09:10:00,2026-08-07,setl_RZ2608070003,260807HDFC0000003,order_RZO000000103,ORD-004503,pay_RZP0000000103,upi
pay_RZP0000000104,payment,0.00,972.15,1000.00,INR,23.60,4.25
pay_RZP0000000105,payment,0.00,972.15,1000.00,INR,23.60,4.25,N,Y,05/08/2026 09:20:00,2026-08-07,setl_RZ2608070003,260807HDFC0000003,order_RZO000000105,ORD-004505,pay_RZP0000000105,upi
pay_RZP0000000106,payment,0.00,1944.30,2000.00,INR,47.20,8.50,N,Y,2026-08-05 09:25:00,2026-08-07,setl_RZ2608070003,260807HDFC0000003,order_RZO000000106,ORD-004506,pay_RZP0000000106,card
pay_RZP0000000106,payment,0.00,1944.30,2000.00,INR,47.20,8.50,N,Y,2026-08-05 09:25:00,2026-08-07,setl_RZ2608070003,260807HDFC0000003,order_RZO000000106,ORD-004506,pay_RZP0000000106,card
trf_RZT000000001,transfer,0.00,5000.00,5000.00,INR,0.00,0.00,N,Y,2026-08-05 09:30:00,2026-08-07,setl_RZ2608070003,260807HDFC0000003,,,,
pay_RZP0000000108,wibble,0.00,972.15,1000.00,INR,23.60,4.25,N,Y,2026-08-05 09:35:00,2026-08-07,setl_RZ2608070003,260807HDFC0000003,order_RZO000000108,ORD-004508,pay_RZP0000000108,upi
pay_RZP0000000109,payment,0.00,486.00,500.00,INR,11.80,2.12,N,Y,2026-08-05 09:40:00,2026-08-07,setl_RZ2608070003,260807HDFC0000003,order_RZO000000109,ORD-004509,pay_RZP0000000109,upi
pay_RZP0000000110,payment,100.00,100.00,100.00,INR,0.00,0.00,N,Y,2026-08-05 09:45:00,2026-08-07,setl_RZ2608070003,260807HDFC0000003,order_RZO000000110,ORD-004510,pay_RZP0000000110,upi
rfnd_RZR000000101,refund,750.00,0.00,750.00,INR,0.00,0.00,N,Y,2026-08-05 09:50:00,2026-08-07,setl_RZ2608070003,260807HDFC0000003,order_RZO000000101,ORD-004501,pay_RZP0000000101,upi
pay_RZP0000000112,payment,0.00,972.15,1000.00,INR,23.60,4.25,N,Y,2026-08-05 09:55:00,2026-08-07,setl_RZ2608070003,260807HDFC0000003,order_RZO000000112,ORD-004512, REPLACEMENT,pay_RZP0000000112,upi
pay_RZP0000000113,payment,0.00,622.18,640.00,INR,15.10,2.72,N,Y,2026-08-05 10:00:00,2026-08-07,setl_RZ2608070003,260807HDFC0000003,order_RZO000000113,ORD-004513,pay_RZP0000000113,netbanking
