line_id,txn_date,narration,credit,debit,balance,utr
BL-0002,2026-01-05,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00001,4122412,,14122412,HDFCN26010518289
BL-0004,2026-01-11,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00003,11582220,,25704632,HDFCN26011137930
BL-0005,2026-01-12,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00004,1684400,,27389032,HDFCN26011279840
BL-0003,2026-01-15,NEFT CR RZPX*ACME RET PL REF SETL 00002 BATCH JAN,4359908,,31748940,HDFCN26011536265
BL-0006,2026-01-15,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00005,7577731,,39326671,HDFCN26011504207
BL-0007,2026-01-18,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00006 PART 1 OF 2,2510744,,41837415,HDFCN26011811915
BL-0008,2026-01-19,UPI  CR   RAZORPAY*COLLECT TRUNCAT,1022316,,42859731,
BL-0018,2026-01-19,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00006 PART 2 OF 2,3328196,,46187927,HDFCN26011964032
BL-0009,2026-01-20,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00008,14896287,,61084214,HDFCN26012078504
BL-0010,2026-01-22,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00009,3207616,,64291830,HDFCN26012270686
BL-0011,2026-01-26,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00010,7430547,,71722377,HDFCN26012602757
BL-0012,2026-01-29,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00011,12472128,,84194505,HDFCN26012955519
BL-0013,2026-01-30,NEFT CR   PAYOUT,6908793,,91103298,
BL-0017,2026-01-30,NEFT CR   PAYOUT,6908793,,98012091,
BL-0014,2026-02-01,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00013,2996247,,101008338,HDFCN26020137388
BL-0015,2026-02-03,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00014,12160794,,113169132,HDFCN26020334179
BL-0016,2026-02-03,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00015,5046150,,118215282,HDFCN26020332018
