order_id,order_date,customer_ref,gross_amount,currency,status
ORD-004472,2026-01-04,CUST-35013,4240500,INR,paid
ORD-004473,2026-01-07,CUST-32536,4484800,INR,paid
ORD-004474,2026-01-09,CUST-35558,223900,INR,paid
ORD-004475,2026-01-09,CUST-33548,92500,INR,refunded
ORD-004476,2026-01-08,CUST-32585,1461000,INR,paid
ORD-004477,2026-01-08,CUST-38528,2402600,INR,paid
ORD-004478,2026-01-10,CUST-35804,3564200,INR,paid
ORD-004479,2026-01-08,CUST-31751,4169800,INR,paid
ORD-004480,2026-01-08,CUST-36978,711900,INR,paid
ORD-004481,2026-01-09,CUST-35375,1115900,INR,paid
ORD-004482,2026-01-13,CUST-35423,3550500,INR,paid
ORD-004483,2026-01-13,CUST-31917,4244300,INR,paid
ORD-004484,2026-01-16,CUST-36156,1804600,INR,paid
ORD-004485,2026-01-13,CUST-38518,1443400,INR,paid
ORD-004486,2026-01-14,CUST-39831,986300,INR,paid
ORD-004487,2026-01-13,CUST-33267,1771900,INR,paid
ORD-004488,2026-01-16,CUST-37305,1051600,INR,paid
ORD-004489,2026-01-19,CUST-39798,1697600,INR,paid
ORD-004490,2026-01-17,CUST-38124,4970900,INR,paid
ORD-004491,2026-01-16,CUST-35316,1086500,INR,paid
ORD-004492,2026-01-18,CUST-35890,3330600,INR,paid
ORD-004493,2026-01-18,CUST-33647,4237400,INR,paid
ORD-004494,2026-01-21,CUST-36039,177600,INR,paid
ORD-004495,2026-01-21,CUST-32291,1619200,INR,paid
ORD-004496,2026-01-18,CUST-33061,611300,INR,paid
ORD-004497,2026-01-18,CUST-37933,891400,INR,paid
ORD-004498,2026-01-22,CUST-37119,4722300,INR,paid
ORD-004499,2026-01-21,CUST-32050,2921100,INR,paid
ORD-004500,2026-01-26,CUST-31965,1558000,INR,paid
ORD-004501,2026-01-27,CUST-32161,1550300,INR,paid
ORD-004502,2026-01-26,CUST-34511,3419500,INR,paid
ORD-004503,2026-01-26,CUST-38750,3583900,INR,paid
ORD-004504,2026-01-26,CUST-38063,2717700,INR,paid
ORD-004505,2026-01-29,CUST-36560,4828000,INR,paid
ORD-004506,2026-01-28,CUST-38351,766100,INR,paid
ORD-004507,2026-01-26,CUST-35093,968600,INR,paid
ORD-004508,2026-01-26,CUST-39857,544000,INR,paid
ORD-004509,2026-01-27,CUST-37571,2713400,INR,paid
ORD-004510,2026-01-29,CUST-35346,434200,INR,paid
ORD-004511,2026-01-29,CUST-34567,4387600,INR,paid
ORD-004512,2026-02-01,CUST-38812,433200,INR,paid
ORD-004513,2026-01-31,CUST-34045,3345400,INR,paid
ORD-004514,2026-02-01,CUST-35034,499000,INR,paid
ORD-004515,2026-02-01,CUST-39566,3844000,INR,paid
ORD-004516,2026-01-31,CUST-35916,1614200,INR,paid
ORD-004517,2026-01-31,CUST-32639,3046400,INR,paid
ORD-004518,2026-02-01,CUST-36719,530100,INR,paid
ORD-004519,2026-02-01,CUST-39667,1083800,INR,paid
ORD-004520,2026-02-02,CUST-35334,101200,INR,paid
ORD-004521,2026-02-04,CUST-34451,806400,INR,paid
ORD-004522,2026-02-04,CUST-31833,3362200,INR,paid
ORD-004523,2026-02-04,CUST-36465,654800,INR,paid
ORD-004524,2026-02-05,CUST-38008,907300,INR,paid
ORD-004525,2026-02-08,CUST-33427,3625500,INR,paid
ORD-004526,2026-02-07,CUST-31654,2866600,INR,paid
ORD-004527,2026-02-11,CUST-37659,4420800,INR,paid
ORD-004528,2026-02-10,CUST-33901,4117500,INR,paid
ORD-004529,2026-02-11,CUST-32772,2748200,INR,paid
ORD-004530,2026-02-12,CUST-38542,2557000,INR,paid
ORD-004531,2026-02-10,CUST-34165,2341500,INR,paid
ORD-004532,2026-02-12,CUST-39786,1879200,INR,paid
ORD-004533,2026-02-13,CUST-38120,1220200,INR,paid
ORD-004534,2026-02-13,CUST-32895,2315400,INR,paid
ORD-004535,2026-02-14,CUST-38145,2574400,INR,paid
ORD-004536,2026-02-15,CUST-36410,2436900,INR,paid
ORD-004537,2026-02-16,CUST-35921,4133900,INR,refunded
ORD-004538,2026-02-18,CUST-37212,2687100,INR,paid
ORD-004539,2026-02-19,CUST-31007,4488800,INR,paid
ORD-004540,2026-02-18,CUST-36280,2041400,INR,paid
ORD-004541,2026-02-19,CUST-35650,3400000,INR,paid
ORD-004542,2026-02-20,CUST-34849,3428000,INR,paid
ORD-004543,2026-02-23,CUST-32194,210000,INR,paid
ORD-004544,2026-02-20,CUST-37292,3034600,INR,paid
ORD-004545,2026-02-24,CUST-34586,4349500,INR,paid
ORD-004546,2026-02-21,CUST-32989,1202600,INR,paid
ORD-004547,2026-02-24,CUST-39271,3712900,INR,paid
ORD-004548,2026-02-23,CUST-38778,2846600,INR,paid
ORD-004549,2026-02-24,CUST-35544,2999500,INR,paid
ORD-004550,2026-02-23,CUST-32270,3466300,INR,paid
ORD-004551,2026-02-24,CUST-36239,4726200,INR,paid
ORD-004552,2026-02-26,CUST-37679,2560200,INR,paid
ORD-004553,2026-02-24,CUST-37884,2218400,INR,paid
ORD-004554,2026-02-27,CUST-35893,3822800,INR,paid
ORD-004555,2026-03-04,CUST-38141,4003400,INR,paid
ORD-004556,2026-03-05,CUST-37625,3232700,INR,paid
ORD-004557,2026-03-04,CUST-39752,4795900,INR,paid
ORD-004558,2026-03-02,CUST-38023,226700,INR,paid
ORD-004559,2026-03-02,CUST-37212,939300,INR,paid
ORD-004560,2026-03-04,CUST-37907,2261800,INR,paid
ORD-004561,2026-03-07,CUST-39838,1703200,INR,paid
ORD-004562,2026-03-05,CUST-31660,391300,INR,paid
ORD-004563,2026-03-07,CUST-32875,4121900,INR,paid
ORD-004564,2026-03-10,CUST-33684,2467500,INR,paid
ORD-004565,2026-03-11,CUST-37150,2088400,INR,paid
ORD-004566,2026-03-10,CUST-34979,2649500,INR,paid
ORD-004567,2026-03-13,CUST-37072,843300,INR,paid
ORD-004568,2026-03-11,CUST-39032,501900,INR,paid
ORD-004569,2026-03-10,CUST-38533,741600,INR,paid
ORD-004570,2026-03-12,CUST-39549,4685400,INR,paid
ORD-004571,2026-03-11,CUST-35398,4312800,INR,paid
