txn_id,txn_type,order_id,captured_at,amount,settlement_id,settled_at
pay_001002,payment,ORD-004472,2026-01-04T06:47:17,4240500,setl_00001,2026-01-05
fee_001003,fee,,2026-01-05T00:00:00,-100075,setl_00001,2026-01-05
tax_001004,tax,,2026-01-05T00:00:00,-18013,setl_00001,2026-01-05
pay_001005,payment,ORD-004473,2026-01-07T19:02:01,4484800,setl_00002,2026-01-08
fee_001006,fee,,2026-01-08T00:00:00,-105841,setl_00002,2026-01-08
tax_001007,tax,,2026-01-08T00:00:00,-19051,setl_00002,2026-01-08
pay_001008,payment,ORD-004474,2026-01-09T19:14:28,223900,setl_00003,2026-01-11
pay_001009,payment,ORD-004475,2026-01-09T19:21:17,92500,setl_00003,2026-01-11
pay_001010,payment,ORD-004476,2026-01-08T09:05:24,1461000,setl_00003,2026-01-11
pay_001011,payment,ORD-004477,2026-01-08T14:51:02,2402600,setl_00003,2026-01-11
pay_001012,payment,ORD-004478,2026-01-10T18:05:35,3564200,setl_00003,2026-01-11
pay_001013,payment,ORD-004479,2026-01-08T12:45:04,4169800,setl_00003,2026-01-11
fee_001014,fee,,2026-01-11T00:00:00,-281170,setl_00003,2026-01-11
tax_001015,tax,,2026-01-11T00:00:00,-50610,setl_00003,2026-01-11
pay_001016,payment,ORD-004480,2026-01-08T14:29:40,711900,setl_00004,2026-01-12
pay_001017,payment,ORD-004481,2026-01-09T17:13:42,1115900,setl_00004,2026-01-12
fee_001018,fee,,2026-01-12T00:00:00,-43136,setl_00004,2026-01-12
tax_001019,tax,,2026-01-12T00:00:00,-7764,setl_00004,2026-01-12
pay_001020,payment,ORD-004482,2026-01-13T11:29:24,3550500,setl_00005,2026-01-15
pay_001021,payment,ORD-004483,2026-01-13T16:53:49,4244300,setl_00005,2026-01-15
fee_001022,fee,,2026-01-15T00:00:00,-183957,setl_00005,2026-01-15
tax_001023,tax,,2026-01-15T00:00:00,-33112,setl_00005,2026-01-15
pay_001024,payment,ORD-004484,2026-01-16T12:58:36,1804600,setl_00006,2026-01-17
pay_001025,payment,ORD-004485,2026-01-13T18:56:58,1443400,setl_00006,2026-01-17
pay_001026,payment,ORD-004486,2026-01-14T10:15:47,986300,setl_00006,2026-01-17
pay_001027,payment,ORD-004487,2026-01-13T18:23:14,1771900,setl_00006,2026-01-17
fee_001028,fee,,2026-01-17T00:00:00,-141746,setl_00006,2026-01-17
tax_001029,tax,,2026-01-17T00:00:00,-25514,setl_00006,2026-01-17
pay_001030,payment,ORD-004488,2026-01-16T19:38:04,1051600,setl_00007,2026-01-18
fee_001031,fee,,2026-01-18T00:00:00,-24817,setl_00007,2026-01-18
tax_001032,tax,,2026-01-18T00:00:00,-4467,setl_00007,2026-01-18
pay_001033,payment,ORD-004489,2026-01-19T09:43:56,1697600,setl_00008,2026-01-20
pay_001034,payment,ORD-004490,2026-01-17T16:07:18,4970900,setl_00008,2026-01-20
pay_001035,payment,ORD-004491,2026-01-16T06:46:56,1086500,setl_00008,2026-01-20
pay_001036,payment,ORD-004492,2026-01-18T09:55:40,3330600,setl_00008,2026-01-20
pay_001037,payment,ORD-004493,2026-01-18T10:23:48,4237400,setl_00008,2026-01-20
fee_001038,fee,,2026-01-20T00:00:00,-361622,setl_00008,2026-01-20
tax_001039,tax,,2026-01-20T00:00:00,-65091,setl_00008,2026-01-20
pay_001040,payment,ORD-004494,2026-01-21T17:56:53,177600,setl_00009,2026-01-22
pay_001041,payment,ORD-004495,2026-01-21T13:56:36,1619200,setl_00009,2026-01-22
pay_001042,payment,ORD-004496,2026-01-18T08:48:34,611300,setl_00009,2026-01-22
pay_001043,payment,ORD-004497,2026-01-18T11:16:33,891400,setl_00009,2026-01-22
fee_001044,fee,,2026-01-22T00:00:00,-77868,setl_00009,2026-01-22
tax_001045,tax,,2026-01-22T00:00:00,-14016,setl_00009,2026-01-22
pay_001046,payment,ORD-004498,2026-01-22T18:42:41,4722300,setl_00010,2026-01-25
pay_001047,payment,ORD-004499,2026-01-21T09:15:14,2921100,setl_00010,2026-01-25
fee_001048,fee,,2026-01-25T00:00:00,-180384,setl_00010,2026-01-25
tax_001049,tax,,2026-01-25T00:00:00,-32469,setl_00010,2026-01-25
pay_001050,payment,ORD-004500,2026-01-26T06:04:45,1558000,setl_00011,2026-01-28
pay_001051,payment,ORD-004501,2026-01-27T07:55:21,1550300,setl_00011,2026-01-28
pay_001052,payment,ORD-004502,2026-01-26T14:42:31,3419500,setl_00011,2026-01-28
pay_001053,payment,ORD-004503,2026-01-26T21:15:50,3583900,setl_00011,2026-01-28
pay_001054,payment,ORD-004504,2026-01-26T09:06:42,2717700,setl_00011,2026-01-28
fee_001055,fee,,2026-01-28T00:00:00,-302773,setl_00011,2026-01-28
tax_001056,tax,,2026-01-28T00:00:00,-54499,setl_00011,2026-01-28
pay_001057,payment,ORD-004505,2026-01-29T09:03:25,4828000,setl_00012,2026-01-30
pay_001058,payment,ORD-004506,2026-01-28T12:12:34,766100,setl_00012,2026-01-30
pay_001059,payment,ORD-004507,2026-01-26T11:17:29,968600,setl_00012,2026-01-30
pay_001060,payment,ORD-004508,2026-01-26T09:03:41,544000,setl_00012,2026-01-30
fee_001061,fee,,2026-01-30T00:00:00,-167718,setl_00012,2026-01-30
tax_001062,tax,,2026-01-30T00:00:00,-30189,setl_00012,2026-01-30
pay_001063,payment,ORD-004509,2026-01-27T21:13:55,2713400,setl_00013,2026-01-31
pay_001064,payment,ORD-004510,2026-01-29T18:00:24,434200,setl_00013,2026-01-31
fee_001065,fee,,2026-01-31T00:00:00,-74283,setl_00013,2026-01-31
tax_001066,tax,,2026-01-31T00:00:00,-13370,setl_00013,2026-01-31
pay_001067,payment,ORD-004511,2026-01-29T10:12:18,4387600,setl_00014,2026-02-02
pay_001068,payment,ORD-004512,2026-02-01T16:03:03,433200,setl_00014,2026-02-02
pay_001069,payment,ORD-004513,2026-01-31T07:32:05,3345400,setl_00014,2026-02-02
pay_001070,payment,ORD-004514,2026-02-01T13:25:07,499000,setl_00014,2026-02-02
pay_001071,payment,ORD-004515,2026-02-01T08:26:42,3844000,setl_00014,2026-02-02
fee_001072,fee,,2026-02-02T00:00:00,-295217,setl_00014,2026-02-02
tax_001073,tax,,2026-02-02T00:00:00,-53139,setl_00014,2026-02-02
pay_001074,payment,ORD-004516,2026-01-31T18:08:42,1614200,setl_00015,2026-02-03
pay_001075,payment,ORD-004517,2026-01-31T08:00:29,3046400,setl_00015,2026-02-03
pay_001076,payment,ORD-004518,2026-02-01T14:08:59,530100,setl_00015,2026-02-03
fee_001077,fee,,2026-02-03T00:00:00,-122500,setl_00015,2026-02-03
tax_001078,tax,,2026-02-03T00:00:00,-22050,setl_00015,2026-02-03
pay_001079,payment,ORD-004519,2026-02-01T15:39:51,1083800,setl_00016,2026-02-05
pay_001080,payment,ORD-004520,2026-02-02T09:56:08,101200,setl_00016,2026-02-05
pay_001081,payment,ORD-004521,2026-02-04T10:17:18,806400,setl_00016,2026-02-05
fee_001082,fee,,2026-02-05T00:00:00,-46997,setl_00016,2026-02-05
tax_001083,tax,,2026-02-05T00:00:00,-8459,setl_00016,2026-02-05
pay_001084,payment,ORD-004522,2026-02-04T14:57:58,3362200,setl_00017,2026-02-08
pay_001085,payment,ORD-004523,2026-02-04T14:02:00,654800,setl_00017,2026-02-08
pay_001086,payment,ORD-004524,2026-02-05T11:47:28,907300,setl_00017,2026-02-08
fee_001087,fee,,2026-02-08T00:00:00,-116213,setl_00017,2026-02-08
tax_001088,tax,,2026-02-08T00:00:00,-20918,setl_00017,2026-02-08
pay_001089,payment,,2026-02-08T17:37:35,3625500,setl_00018,2026-02-09
pay_001090,payment,ORD-004526,2026-02-07T07:19:23,2866600,setl_00018,2026-02-09
fee_001091,fee,,2026-02-09T00:00:00,-153213,setl_00018,2026-02-09
tax_001092,tax,,2026-02-09T00:00:00,-27578,setl_00018,2026-02-09
pay_001093,payment,ORD-004527,2026-02-11T17:49:35,4420800,setl_00019,2026-02-12
pay_001094,payment,ORD-004528,2026-02-10T13:55:10,4117500,setl_00019,2026-02-12
fee_001095,fee,,2026-02-12T00:00:00,-201503,setl_00019,2026-02-12
tax_001096,tax,,2026-02-12T00:00:00,-36270,setl_00019,2026-02-12
pay_001097,payment,ORD-004529,2026-02-11T14:10:50,2748200,setl_00020,2026-02-13
pay_001098,payment,ORD-004530,2026-02-12T21:14:12,2557000,setl_00020,2026-02-13
pay_001099,payment,ORD-004531,2026-02-10T13:14:01,2341500,setl_00020,2026-02-13
fee_001100,fee,,2026-02-13T00:00:00,-180462,setl_00020,2026-02-13
tax_001101,tax,,2026-02-13T00:00:00,-32483,setl_00020,2026-02-13
pay_001102,payment,ORD-004532,2026-02-12T18:43:53,1879200,setl_00021,2026-02-15
fee_001103,fee,,2026-02-15T00:00:00,-44349,setl_00021,2026-02-15
tax_001104,tax,,2026-02-15T00:00:00,-7982,setl_00021,2026-02-15
pay_001105,payment,ORD-004533,2026-02-13T07:06:38,1220200,setl_00022,2026-02-16
pay_001106,payment,ORD-004534,2026-02-13T19:38:32,2315400,setl_00022,2026-02-16
pay_001107,payment,ORD-004535,2026-02-14T14:02:45,2574400,setl_00022,2026-02-16
fee_001108,fee,,2026-02-16T00:00:00,-144196,setl_00022,2026-02-16
tax_001109,tax,,2026-02-16T00:00:00,-25955,setl_00022,2026-02-16
pay_001110,payment,ORD-004536,2026-02-15T08:42:58,2436900,setl_00023,2026-02-19
pay_001111,payment,ORD-004537,2026-02-16T09:46:57,4133900,setl_00023,2026-02-19
fee_001112,fee,,2026-02-19T00:00:00,-155070,setl_00023,2026-02-19
tax_001113,tax,,2026-02-19T00:00:00,-27912,setl_00023,2026-02-19
pay_001114,payment,ORD-004538,2026-02-18T10:12:26,2687100,setl_00024,2026-02-21
pay_001115,payment,ORD-004539,2026-02-19T15:25:35,4488800,setl_00024,2026-02-21
pay_001116,payment,ORD-004540,2026-02-18T12:27:50,2041400,setl_00024,2026-02-21
fee_001117,fee,,2026-02-21T00:00:00,-217528,setl_00024,2026-02-21
tax_001118,tax,,2026-02-21T00:00:00,-39155,setl_00024,2026-02-21
pay_001119,payment,ORD-004541,2026-02-19T11:42:05,3400000,setl_00025,2026-02-23
pay_001120,payment,ORD-004542,2026-02-20T08:52:48,3428000,setl_00025,2026-02-23
fee_001121,fee,,2026-02-23T00:00:00,-161140,setl_00025,2026-02-23
tax_001122,tax,,2026-02-23T00:00:00,-29005,setl_00025,2026-02-23
pay_001123,payment,ORD-004543,2026-02-23T13:30:39,210000,setl_00026,2026-02-24
pay_001124,payment,ORD-004544,2026-02-20T12:45:44,3034600,setl_00026,2026-02-24
fee_001125,fee,,2026-02-24T00:00:00,-76572,setl_00026,2026-02-24
tax_001126,tax,,2026-02-24T00:00:00,-13782,setl_00026,2026-02-24
pay_001127,payment,ORD-004545,2026-02-24T09:49:27,4349500,setl_00027,2026-02-25
pay_001128,payment,ORD-004546,2026-02-21T07:35:15,1202600,setl_00027,2026-02-25
fee_001129,fee,,2026-02-25T00:00:00,-131029,setl_00027,2026-02-25
tax_001130,tax,,2026-02-25T00:00:00,-23585,setl_00027,2026-02-25
pay_001131,payment,ORD-004547,2026-02-24T20:39:52,3712900,setl_00028,2026-02-27
pay_001132,payment,ORD-004548,2026-02-23T11:47:55,2846600,setl_00028,2026-02-27
pay_001133,payment,ORD-004549,2026-02-24T13:53:40,2999500,setl_00028,2026-02-27
pay_001134,payment,ORD-004550,2026-02-23T13:17:28,3466300,setl_00028,2026-02-27
pay_001135,payment,ORD-004551,2026-02-24T13:17:21,4726200,setl_00028,2026-02-27
fee_001136,fee,,2026-02-27T00:00:00,-418935,setl_00028,2026-02-27
tax_001137,tax,,2026-02-27T00:00:00,-75408,setl_00028,2026-02-27
pay_001138,payment,ORD-004552,2026-02-26T12:04:26,2560200,setl_00029,2026-02-28
pay_001139,payment,ORD-004553,2026-02-24T19:03:13,2218400,setl_00029,2026-02-28
fee_001140,fee,,2026-02-28T00:00:00,-112774,setl_00029,2026-02-28
tax_001141,tax,,2026-02-28T00:00:00,-20299,setl_00029,2026-02-28
pay_001142,payment,ORD-004554,2026-02-27T21:00:22,3822800,setl_00030,2026-03-03
fee_001143,fee,,2026-03-03T00:00:00,-90218,setl_00030,2026-03-03
tax_001144,tax,,2026-03-03T00:00:00,-16239,setl_00030,2026-03-03
pay_001145,payment,ORD-004555,2026-03-04T21:14:17,4003400,setl_00031,2026-03-06
pay_001146,payment,ORD-004556,2026-03-05T18:21:42,3232700,setl_00031,2026-03-06
pay_001147,payment,ORD-004557,2026-03-04T20:58:08,4795900,setl_00031,2026-03-06
pay_001148,payment,ORD-004558,2026-03-02T06:05:41,226700,setl_00031,2026-03-06
