invoice_no,period,taxable_value,gst_amount,gstin,invoice_date
PSPGST-2026-01,2026-01,1896564,341377,29AAACR0000R1ZE,2026-01-31
PSPGST-2026-02,2026-02,677765,121996,29AAACR0000R1ZE,2026-02-28
PSPGST-2026-03,2026-03,4226701,760797,29AAACR0000R1ZE,2026-03-31
PSPGST-2026-04,2026-04,2163135,389358,29AAACR0000R1ZE,2026-04-30
PSPGST-2026-05,2026-05,2184155,393140,29AAACR0000R1ZE,2026-05-31
PSPGST-2026-06,2026-06,2453391,441603,29AAACR0000R1ZE,2026-06-30
PSPGST-2026-07,2026-07,3152951,567523,29AAACR0000R1ZE,2026-07-31
PSPGST-2026-08,2026-08,2360460,424876,29AAACR0000R1ZE,2026-08-31
PSPGST-2026-09,2026-09,2858235,514477,29AAACR0000R1ZE,2026-09-30
PSPGST-2026-10,2026-10,3530663,635513,29AAACR0000R1ZE,2026-10-31
PSPGST-2026-12,2026-12,30125,5422,29AAACR0000R1ZE,2026-12-31
