order_id,order_date,customer_ref,gross_amount,currency,status
ORD-004471,2026-06-01,CUST-31005,1250000,INR,paid
ORD-004472,2026-06-01,CUST-31006,890000,INR,refunded
ORD-004473,2026-06-02,CUST-31007,1432500,INR,paid
ORD-004474,2026-06-02,CUST-31008,1359500,INR,paid
ORD-004510,2026-07-01,CUST-31020,2100000,INR,paid
ORD-004511,2026-07-02,CUST-31021,675000,INR,paid
ORD-004602,2026-07-07,CUST-31044,1050000,INR,paid
ORD-004603,2026-07-08,CUST-31045,720000,INR,paid
ORD-004688,2026-07-15,CUST-31071,3000000,INR,paid
ORD-004720,2026-07-21,CUST-31090,1600000,INR,paid
ORD-004721,2026-07-22,CUST-31091,900000,INR,paid
ORD-004735,2026-07-22,CUST-31092,2500000,INR,paid
