txn_id,txn_type,order_id,captured_at,amount,settlement_id,settled_at
pay_1001,payment,ORD-004471,2026-06-01T09:41:12,1250000,setl_A1,2026-06-03
pay_1002,payment,ORD-004472,2026-06-01T13:27:55,890000,setl_A1,2026-06-03
pay_1003,payment,ORD-004473,2026-06-02T10:05:03,1432500,setl_A1,2026-06-03
pay_1004,payment,ORD-004474,2026-06-02T18:52:40,1359500,setl_A1,2026-06-03
fee_1001,fee,,2026-06-03T00:00:00,-116395,setl_A1,2026-06-03
tax_1001,tax,,2026-06-03T00:00:00,-20951,setl_A1,2026-06-03
pay_1101,payment,ORD-004510,2026-07-01T11:18:07,2100000,setl_B2,2026-07-03
pay_1102,payment,ORD-004511,2026-07-02T09:33:29,675000,setl_B2,2026-07-03
rfnd_2001,refund,ORD-004472,2026-06-29T14:20:11,-890000,setl_B2,2026-07-03
cb_7701,chargeback,ORD-004018,2026-06-30T08:05:00,-50000,setl_B2,2026-07-03
fee_1002,fee,,2026-07-03T00:00:00,-65490,setl_B2,2026-07-03
tax_1002,tax,,2026-07-03T00:00:00,-11788,setl_B2,2026-07-03
pay_1103,payment,ORD-004602,2026-07-07T10:14:33,1050000,setl_C3,2026-07-10
pay_1104,payment,,2026-07-08T16:02:51,720000,setl_C3,2026-07-10
pay_1105,payment,ORD-004602,2026-07-07T10:14:33,1050000,,
fee_1003,fee,,2026-07-10T00:00:00,-41772,setl_C3,2026-07-10
tax_1003,tax,,2026-07-10T00:00:00,-7518,setl_C3,2026-07-10
pay_1201,payment,ORD-004688,2026-07-15T12:44:18,3000000,setl_D4,2026-07-17
fee_1004,fee,,2026-07-17T00:00:00,-70800,setl_D4,2026-07-17
tax_1004,tax,,2026-07-17T00:00:00,-12744,setl_D4,2026-07-17
pay_1301,payment,ORD-004720,2026-07-21T09:12:04,1600000,setl_K9,2026-07-24
pay_1302,payment,ORD-004721,2026-07-22T15:40:19,900000,setl_K9,2026-07-24
fee_1005,fee,,2026-07-24T00:00:00,-59000,setl_K9,2026-07-24
tax_1005,tax,,2026-07-24T00:00:00,-10620,setl_K9,2026-07-24
pay_1401,payment,ORD-004735,2026-07-22T11:05:47,2500000,setl_M2,2026-07-24
fee_1006,fee,,2026-07-24T00:00:00,-59000,setl_M2,2026-07-24
tax_1006,tax,,2026-07-24T00:00:00,-10620,setl_M2,2026-07-24
